,transcript_position,gene_ENSEMBL,gene_position,C001_L-92,C001_L-44,C001_L-3,C001_R+1,C002_L-92,C002_L-44,C002_L-3,C002_R+1,C003_L-92,C003_L-44,C003_L-3,C003_R+1,C004_L-92,C004_L-44,C004_L-3,C004_R+1,I4-FP1_methylKit p-value,I4-FP1_methylKit q-value,"I4-FP1_methylKit methylation difference, %"
ENST00000000233.10,599,ENSG00000004059.11,624,0.5695772,0.50202626,,0.5993477,0.4040571,,0.27576178,,,,0.44841582,0.7645494,0.38628793,,0.57511854,0.42170605,1.0,1.0,1.6945254407597
ENST00000000233.10,630,ENSG00000004059.11,655,0.00019665956,0.0004028678,,0.00011137724,4.668236e-05,,,,,,0.0004989624,0.00011333227,0.00021609067,,0.00015645027,0.0004202962,1.0,1.0,1.27495584046697
ENST00000000233.10,686,ENSG00000004059.11,711,0.13082725,0.123700485,,0.11101906,0.11981504,,0.18363294,,,,0.18269198,0.08380435,,,0.14282022,0.18356839,1.0,1.0,1.28487937494877
ENST00000000233.10,691,ENSG00000004059.11,716,0.4015883,0.06623461,,0.040066015,,,0.17205773,,,,0.3173097,0.1213202,0.30711937,0.07922621,0.25515556,0.18804237,1.0,1.0,0.655714856877826
ENST00000000233.10,699,ENSG00000004059.11,724,0.6667506,0.67097396,,0.5591234,0.7413359,,0.5627586,,,,0.3985054,0.6204229,0.6700389,,0.41078883,0.554519,1.0,1.0,1.26231589132358
ENST00000000233.10,847,ENSG00000004059.11,872,0.7920284,0.5710141,,0.45479217,,,0.5849482,,,,0.5355277,0.613373,0.6139013,,0.5861475,0.35978085,1.0,1.0,1.16295911745549
ENST00000000412.8,1033,ENSG00000003056.8,1033,,,,0.008691561,,,,,,,0.016059076,,,0.03242942,0.017649531,0.037543572,1.0,1.0,2.09721101901028
ENST00000000412.8,1148,ENSG00000003056.8,1148,,,,0.086026035,,,,,,,0.2757454,,,,0.28233713,0.3396345,1.0,1.0,2.28815907389181
ENST00000000412.8,1235,ENSG00000003056.8,1235,,,,0.008865511,,,,,,,0.0033953309,,,0.012423361,0.016980683,0.009412611,1.0,1.0,1.67181131247717
ENST00000000412.8,1260,ENSG00000003056.8,1260,,,,0.05971986,,,,,,,0.06956838,,,0.05896436,0.04957694,0.047356643,1.0,1.0,1.80354885259464
ENST00000000412.8,1328,ENSG00000003056.8,1328,,,,0.08268412,,,,,,,0.060561396,,,0.049207795,0.079159,0.03678106,1.0,1.0,1.89699344551496
ENST00000000412.8,1351,ENSG00000003056.8,1351,,,,0.0361745,,,,,,,0.07635932,,,0.04486079,0.22480023,0.056853056,1.0,1.0,0.806549892413839
ENST00000000412.8,1389,ENSG00000003056.8,1389,,,,0.011075854,,,,,,,0.01643126,,,0.08990212,0.032697678,0.025962353,1.0,1.0,0.799207188655645
ENST00000000412.8,1480,ENSG00000003056.8,1480,,,,0.611909,,,,,,,0.296605,,,0.31074366,0.1377323,0.4689861,1.0,1.0,4.35212476775678
ENST00000000412.8,1550,ENSG00000003056.8,1550,,,,0.23391905,,,,,,,0.21337843,,,0.30956215,0.13718387,0.2840956,1.0,1.0,2.3541681420829
ENST00000000412.8,1578,ENSG00000003056.8,1578,,,,0.10559227,,,,,,,0.484049,,,0.04107245,0.14544705,0.18168065,1.0,1.0,1.2852061497073
ENST00000000412.8,1650,ENSG00000003056.8,1650,,,,0.3836783,,,,,,,0.24043126,,,0.41369015,0.7960228,0.513516,1.0,1.0,1.85607947226158
ENST00000000412.8,1676,ENSG00000003056.8,1676,,,,0.3396425,,,,,,,0.13337967,,,0.22788446,,0.5058254,1.0,1.0,7.02091209553519
ENST00000000412.8,186,ENSG00000003056.8,186,,,,0.07139516,,,,,,,0.19299518,,,,,0.508638,1.0,1.0,9.01628465539916
ENST00000000412.8,1885,ENSG00000003056.8,1885,,,,0.010346663,,,,,,,0.009811962,,,0.0110558625,0.022800744,0.023643052,1.0,1.0,2.33506955924144
ENST00000000412.8,191,ENSG00000003056.8,191,,,,0.51692456,,,,,,,0.51144826,,,,0.6804384,0.7000798,1.0,1.0,3.06322169928472
ENST00000000412.8,1920,ENSG00000003056.8,1920,,,,0.044282306,,,,,,,0.0983637,,,0.17317107,0.080921374,0.11001637,1.0,1.0,1.31334361985189
ENST00000000412.8,1965,ENSG00000003056.8,1965,,,,0.18211195,,,,,,,0.07034918,,,0.07348993,0.08526324,0.021340441,1.0,1.0,2.66412445354663
ENST00000000412.8,2124,ENSG00000003056.8,2124,,,,0.013092911,,,,,,,0.004166746,,,0.042407583,0.008293939,0.00886904,1.0,1.0,1.20080067043486
ENST00000000412.8,2130,ENSG00000003056.8,2130,,,,0.9952465,,,,,,,0.9724709,,,0.98973453,0.9699858,0.98833215,1.0,1.0,2.02945015629147
ENST00000000412.8,2152,ENSG00000003056.8,2152,,,,0.520004,,,,,,,0.40443802,,,0.30305067,0.23664317,0.20721546,1.0,1.0,2.31075602088038
ENST00000000412.8,2174,ENSG00000003056.8,2174,,,,0.022818113,,,,,,,0.017182505,,,0.025149703,0.0108537795,0.031599008,1.0,1.0,3.06944311224831
ENST00000000412.8,2189,ENSG00000003056.8,2189,,,,,,,,,,,0.75530887,,,,,0.7983357,1.0,1.0,3.17089762231972
ENST00000000412.8,2254,ENSG00000003056.8,2254,,,,0.004928851,,,,,,,0.046803318,,,0.052758135,0.08064016,0.029578244,1.0,1.0,0.574474796737807
ENST00000000412.8,2270,ENSG00000003056.8,2270,,,,0.98294103,,,,,,,0.9202442,,,0.965783,,0.9702854,1.0,1.0,3.10689012862592
ENST00000000412.8,2308,ENSG00000003056.8,2308,,,,0.015044415,,,,,,,0.21414001,,,0.031647563,0.025059532,0.060905207,1.0,1.0,0.841245343936757
ENST00000000412.8,237,ENSG00000003056.8,237,,,,0.26199234,,,,,,,0.22173187,,,0.3031332,0.6759394,0.1479584,1.0,1.0,1.02419024139708
ENST00000000412.8,2397,ENSG00000003056.8,2397,,,,0.007663369,,,,,,,0.05531601,,,0.011423242,0.066802524,0.055080604,1.0,1.0,1.4095358369354
ENST00000000412.8,2418,ENSG00000003056.8,2418,,,,0.032227445,,,,,,,0.05618731,,,0.08899349,,0.17969371,1.0,1.0,4.3791153169014
ENST00000000412.8,2436,ENSG00000003056.8,2436,,,,,,,,,,,,,,,,0.0025190234,1.0,1.0,
ENST00000000412.8,2440,ENSG00000003056.8,2440,,,,,,,,,,,,,,,,0.036995567,1.0,1.0,
ENST00000000412.8,249,ENSG00000003056.8,249,,,,0.021348024,,,,,,,0.017546928,,,0.015673852,0.04420017,0.05473858,1.0,1.0,2.94829515783518
ENST00000000412.8,317,ENSG00000003056.8,317,,,,0.0020458817,,,,,,,0.005825496,,,0.0032558083,0.0026655078,0.0038155555,1.0,1.0,1.49694329408742
ENST00000000412.8,364,ENSG00000003056.8,364,,,,0.1741889,,,,,,,0.095291495,,,0.15409452,0.32763615,0.18201959,1.0,1.0,1.85196606788926
ENST00000000412.8,459,ENSG00000003056.8,459,,,,0.19779544,,,,,,,0.04079058,,,0.052438665,0.13772583,0.07216042,1.0,1.0,3.50660222556269
ENST00000000412.8,45,ENSG00000003056.8,45,,,,0.04784993,,,,,,,0.07022365,,,,0.062386535,0.014976561,1.0,1.0,1.42130465318331
ENST00000000412.8,473,ENSG00000003056.8,473,,0.10943228,,0.09842944,,,,,,,0.035016764,,,0.030398166,0.10665755,0.061154224,1.0,1.0,1.70068524596173
ENST00000000412.8,483,ENSG00000003056.8,483,,0.2823432,,0.28745967,,,,,,,0.34130654,,,0.20835844,0.24271789,0.5395731,1.0,1.0,2.30858669874826
ENST00000000412.8,544,ENSG00000003056.8,544,,,,0.009102476,,,,,,,0.015231597,,,0.023556124,0.09927275,0.04227363,1.0,1.0,1.11638267553063
ENST00000000412.8,57,ENSG00000003056.8,57,,,,0.124700114,,,,,,,0.07269003,,,,,0.23442826,1.0,1.0,14.8216354017187
ENST00000000412.8,613,ENSG00000003056.8,613,,,,0.02447015,,,,,,,0.06529027,,,0.13778816,0.039656244,0.033898663,1.0,1.0,0.721390298775361
ENST00000000412.8,622,ENSG00000003056.8,622,,0.00027444362,,0.0001651883,,,,,,,0.0015534044,,,0.0034186721,0.01870482,0.00015461445,1.0,1.0,0.0400565582215113
ENST00000000412.8,880,ENSG00000003056.8,880,,,,0.18044975,,,,,,,0.15906152,,,0.3313843,0.24784088,0.2047522,1.0,1.0,1.56525351194867
ENST00000000412.8,899,ENSG00000003056.8,899,,,,0.0067076087,,,,,,,0.023114324,,,0.029498076,0.006430435,0.031609297,1.0,1.0,1.94690375385938
ENST00000000412.8,940,ENSG00000003056.8,940,,,,0.07087209,,,,,,,0.17633216,,,,0.17801052,0.26316994,1.0,1.0,2.82812697019732
ENST00000000412.8,973,ENSG00000003056.8,973,,,,0.060296547,,,,,,,0.02897718,,,0.1468127,0.07896836,0.057126246,1.0,1.0,1.38275558427472
ENST00000001008.6,1888,ENSG00000004478.8,1888,,,,,,,0.8324693,,,,,,,,,,1.0,1.0,0.0
ENST00000001008.6,1907,ENSG00000004478.8,1907,,,,,,,0.27980128,,,,0.23648067,,,,,,1.0,1.0,0.0
ENST00000001008.6,1985,ENSG00000004478.8,1985,,,,,,,0.03509592,,,,,,,,,,1.0,1.0,0.0
ENST00000001008.6,1996,ENSG00000004478.8,1996,,,,,,,0.027147138,,,,0.0042815804,,,,,,1.0,1.0,0.0
ENST00000001008.6,2078,ENSG00000004478.8,2078,,,,,,,0.0969191,,,,,,,,,,1.0,1.0,0.0
ENST00000002165.11,1020,ENSG00000001036.14,1020,,,,,,,,,,,,,,,,0.3542692,1.0,1.0,
ENST00000002165.11,1061,ENSG00000001036.14,1061,,,,,,,,,,,0.19453688,,,,,0.13312969,1.0,1.0,2.05302495855798
ENST00000002165.11,1193,ENSG00000001036.14,1193,,,,,,,,,,,,,,,,0.007822538,1.0,1.0,
ENST00000002165.11,1218,ENSG00000001036.14,1218,,,,,,,,,,,,,,,,0.024023235,1.0,1.0,
ENST00000002165.11,1303,ENSG00000001036.14,1303,,,,,,,,,,,,,,,,0.4818817,1.0,1.0,
ENST00000002165.11,1354,ENSG00000001036.14,1354,,,,,,,,,,,0.032019615,,,,,0.017968249,1.0,1.0,1.68349141612102
ENST00000002165.11,1369,ENSG00000001036.14,1369,,,,,,,,,,,,,,,,0.53484553,1.0,1.0,
ENST00000002165.11,1380,ENSG00000001036.14,1380,,,,,,,,,,,0.52648515,,,,,0.20945099,1.0,1.0,1.19348659691541
ENST00000002165.11,1417,ENSG00000001036.14,1417,,,,,,,,,,,,,,,,0.95921725,1.0,1.0,
ENST00000002165.11,1430,ENSG00000001036.14,1430,,,,,,,,,,,0.0002904296,,,,,0.00047781467,1.0,1.0,4.93559888523759
ENST00000002165.11,1475,ENSG00000001036.14,1475,,,,,,,,,,,,,,,,0.7200239,1.0,1.0,
ENST00000002165.11,1536,ENSG00000001036.14,1536,,,,,,,,,,,0.57983434,,,,,0.5099345,1.0,1.0,2.6383458075284
ENST00000002165.11,1583,ENSG00000001036.14,1583,,,,,,,,,,,0.3434477,,,,,0.42450848,1.0,1.0,3.70806221733323
ENST00000002165.11,1660,ENSG00000001036.14,1660,,,,,,,,,,,,,,,,0.0008167982,1.0,1.0,
ENST00000002165.11,1669,ENSG00000001036.14,1669,,,,,,,,,,,,,,,,0.15819848,1.0,1.0,
ENST00000002165.11,479,ENSG00000001036.14,479,,,,,,,,,,,,,,,,0.019944739,1.0,1.0,
ENST00000002165.11,487,ENSG00000001036.14,487,,,,,,,,,,,,,,,,0.023520982,1.0,1.0,
ENST00000002165.11,531,ENSG00000001036.14,531,,,,,,,,,,,,,,,,0.7404203,1.0,1.0,
ENST00000002165.11,564,ENSG00000001036.14,564,,,,,,,,,,,,,,,,0.31335574,1.0,1.0,
ENST00000002165.11,577,ENSG00000001036.14,577,,,,,,,,,,,,,,,,0.4800128,1.0,1.0,
ENST00000002165.11,597,ENSG00000001036.14,597,,,,,,,,,,,,,,,,0.092477575,1.0,1.0,
ENST00000002165.11,602,ENSG00000001036.14,602,,,,,,,,,,,,,,,,0.9586822,1.0,1.0,
ENST00000002165.11,710,ENSG00000001036.14,710,,,,,,,,,,,,,,,,0.41451702,1.0,1.0,
ENST00000002165.11,930,ENSG00000001036.14,930,,,,,,,,,,,,,,,,0.0019685507,1.0,1.0,
ENST00000002165.11,937,ENSG00000001036.14,937,,,,,,,,,,,,,,,,0.14495309,1.0,1.0,
ENST00000002165.11,963,ENSG00000001036.14,963,,,,,,,,,,,,,,,,0.14052343,1.0,1.0,
ENST00000002165.11,971,ENSG00000001036.14,971,,,,,,,,,,,,,,,,0.004420197,1.0,1.0,
ENST00000002165.11,978,ENSG00000001036.14,978,,,,,,,,,,,,,,,,0.030813599,1.0,1.0,
ENST00000002165.11,982,ENSG00000001036.14,982,,,,,,,,,,,,,,,,0.18627101,1.0,1.0,
ENST00000005257.7,2263,ENSG00000006451.8,2270,,,,,,,0.092554614,,,,,,,,,,1.0,1.0,0.0
ENST00000005257.7,2301,ENSG00000006451.8,2308,,,,,,,0.07916771,,,,,,,,,,1.0,1.0,0.0
ENST00000005257.7,2351,ENSG00000006451.8,2358,,,,,,,0.38228962,,,,,,,,,,1.0,1.0,0.0
ENST00000005257.7,2384,ENSG00000006451.8,2391,,,,,,,0.012487149,,,,,,,,,,1.0,1.0,0.0
ENST00000005257.7,2423,ENSG00000006451.8,2430,,,,,,,0.42854553,,,,,,,,,,1.0,1.0,0.0
ENST00000005257.7,2553,ENSG00000006451.8,2560,,,,,,,0.012945354,,,,,,,,,,1.0,1.0,0.0
ENST00000005257.7,2607,ENSG00000006451.8,2614,,,,,,,0.00035005808,,,,,,,,,,1.0,1.0,0.0
ENST00000005257.7,2620,ENSG00000006451.8,2627,,,,,,,0.0009118199,,,,,,,,,,1.0,1.0,0.0
ENST00000005257.7,2627,ENSG00000006451.8,2634,,,,,,,0.02022251,,,,,,,,,,1.0,1.0,0.0
ENST00000005257.7,2635,ENSG00000006451.8,2642,,,,,,,0.120173596,,,,,,,,,,1.0,1.0,0.0
ENST00000005257.7,2648,ENSG00000006451.8,2655,,,,,,,0.09094258,,,,,,,,,,1.0,1.0,0.0
ENST00000005257.7,2690,ENSG00000006451.8,2697,,,,,,,0.3069734,,,,,,,,,,1.0,1.0,0.0
ENST00000007390.3,1008,ENSG00000007520.4,1008,,,,,,,,,,,,,,,0.9287392,0.9856535,1.0,1.0,3.18384375290716
ENST00000007390.3,1022,ENSG00000007520.4,1022,,,,,,,,,,,,,,,,0.057424523,1.0,1.0,
ENST00000007390.3,1063,ENSG00000007520.4,1063,,,,,,,,,,,,,,,0.98875856,0.98743933,1.0,1.0,2.995997314046
ENST00000007390.3,1072,ENSG00000007520.4,1072,,,,,,,,,,,,,,,0.81037474,0.80781204,1.0,1.0,2.99051290764566
ENST00000007390.3,1118,ENSG00000007520.4,1118,,,,,,,,,,,,,,,,0.8558563,1.0,1.0,
ENST00000007390.3,402,ENSG00000007520.4,402,,,,,,,,,,,,,,,,0.0759186,1.0,1.0,
ENST00000007390.3,406,ENSG00000007520.4,406,,,,,,,,,,,,,,,,0.044011675,1.0,1.0,
ENST00000007390.3,467,ENSG00000007520.4,467,,,,,,,,,,,,,,,,0.052395582,1.0,1.0,
ENST00000007390.3,537,ENSG00000007520.4,537,,,,,,,,,,,,,,,,0.67157304,1.0,1.0,
ENST00000007390.3,556,ENSG00000007520.4,556,,,,,,,,,,,,,,,,0.09827755,1.0,1.0,
ENST00000007390.3,609,ENSG00000007520.4,609,,,,,,,,,,,,,,,,0.051831115,1.0,1.0,
ENST00000007390.3,660,ENSG00000007520.4,660,,,,,,,,,,,,,,,0.19635469,0.38166815,1.0,1.0,5.83130685597578
ENST00000007390.3,666,ENSG00000007520.4,666,,,,,,,,,,,,,,,,0.5244276,1.0,1.0,
ENST00000007390.3,681,ENSG00000007520.4,681,,,,,,,,,,,,,,,,0.15478379,1.0,1.0,
ENST00000007390.3,813,ENSG00000007520.4,813,,,,,,,,,,,,,,,0.028113116,0.046353936,1.0,1.0,4.94650994930622
ENST00000007390.3,852,ENSG00000007520.4,852,,,,,,,,,,,,,,,0.19703948,0.14961821,1.0,1.0,2.27799337472876
ENST00000007390.3,861,ENSG00000007520.4,861,,,,,,,,,,,,,,,0.0545635,0.10167559,1.0,1.0,5.59030798977338
ENST00000007390.3,879,ENSG00000007520.4,879,,,,,,,,,,,,,,,,0.097671114,1.0,1.0,
ENST00000007516.8,146,ENSG00000004779.10,146,,,,,,,0.25202483,,,,0.087220326,,,,,0.17139623,1.0,1.0,1.51568469263567
ENST00000007516.8,164,ENSG00000004779.10,164,,,,,,,0.26297787,,,,0.32185453,,,0.31818092,,0.46022898,1.0,1.0,1.52897737986854
ENST00000007516.8,267,ENSG00000004779.10,267,,,,,,,0.11934739,,,,0.10071613,,,0.19577697,,0.26486763,1.0,1.0,1.91083578705863
ENST00000007516.8,289,ENSG00000004779.10,289,,,,,,,0.24430752,,,,0.40717807,,,0.15213552,,0.24453826,1.0,1.0,0.91288639742179
ENST00000007516.8,297,ENSG00000004779.10,297,,,,,,,0.004037368,,,,0.009226799,,,0.03922236,,0.017748784,1.0,1.0,1.01447657224491
ENST00000007516.8,306,ENSG00000004779.10,306,,,,,,,0.0058128834,,,,0.01046983,,,0.013542319,,0.029703224,1.0,1.0,2.98774770149118
ENST00000007516.8,345,ENSG00000004779.10,345,,,,,,,0.060338415,,,,0.053144585,,,0.07143555,,0.15316617,1.0,1.0,2.4848697440035
ENST00000007516.8,357,ENSG00000004779.10,357,,,,,,,0.02829721,,,,0.013946747,,,0.023086559,,0.047645092,1.0,1.0,2.18787918344315
ENST00000007516.8,366,ENSG00000004779.10,366,,,,,,,0.01779623,,,,,,,0.010747862,,0.08161434,1.0,1.0,8.57771268394174
ENST00000007516.8,505,ENSG00000004779.10,505,,,,,,,0.04348432,,,,,,,0.11166408,,0.09191813,1.0,1.0,1.77735890283109
ENST00000007516.8,529,ENSG00000004779.10,529,,,,,,,0.086711705,,,,0.22745737,,,0.17683168,,0.30831838,1.0,1.0,1.88381612570025
ENST00000007516.8,564,ENSG00000004779.10,564,,,,,,,0.28387195,,,,0.48690143,,,0.43033725,,0.46603742,1.0,1.0,1.16401622388438
ENST00000007516.8,586,ENSG00000004779.10,586,,,,,,,0.4930872,,,,0.34226975,,,0.34732008,,0.22549109,1.0,1.0,0.571984787765769
ENST00000007516.8,592,ENSG00000004779.10,592,,,,,,,0.06066396,,,,0.13793363,,,0.055541884,,0.102660395,1.0,1.0,1.21185890626341
ENST00000007516.8,610,ENSG00000004779.10,610,,,,,,,0.74348414,,,,,,,0.6639308,,0.7250431,1.0,1.0,1.54547833633199
ENST00000008938.5,101,ENSG00000008438.5,101,,,,0.12168157,0.025553513,,,,,,0.08067801,,,,0.11906537,0.12598316,1.0,1.0,3.29784481315505
ENST00000008938.5,108,ENSG00000008438.5,108,,,,0.31553,0.052824855,,,,,,0.06841552,,0.057538845,,0.08724662,0.06548689,1.0,1.0,4.29676556984088
ENST00000008938.5,13,ENSG00000008438.5,13,,,,0.12586254,,,,,,,0.30586615,,,,0.37213618,0.2577482,1.0,1.0,1.69738682166475
ENST00000008938.5,290,ENSG00000008438.5,290,,,,0.11956619,0.2706665,,0.084389076,,,,0.10450208,,0.09936728,0.26712385,0.11385505,0.06017611,1.0,1.0,0.573704329471424
ENST00000008938.5,366,ENSG00000008438.5,366,,,,0.22374687,0.059438966,,0.15856291,,0.13140155,,0.2199122,,0.10837944,0.25177377,0.42474356,0.57411826,1.0,1.0,1.767518446198
ENST00000008938.5,399,ENSG00000008438.5,399,,,,0.18163256,0.3279659,,0.04500257,,0.05164795,,0.033985984,,0.03241024,0.12290218,0.06606154,0.074708246,1.0,1.0,1.13095463124068
ENST00000008938.5,538,ENSG00000008438.5,538,,,,0.2103785,0.51584923,,0.3880433,,0.20569324,,0.24490872,,0.3814982,0.26096338,0.60739785,0.56547034,1.0,1.0,0.893713600953283
ENST00000008938.5,668,ENSG00000008438.5,668,,,,0.01943555,0.010545516,,0.009311711,,,,0.008142376,,0.010488296,,0.01821215,0.035491,1.0,1.0,2.90616415516677
ENST00000009530.13,1019,ENSG00000019582.17,1021,0.1681929,0.25389063,0.26239836,0.28911465,0.07209574,0.114454545,0.117292665,0.17470688,0.103865966,,0.123141885,0.22660589,0.20144396,0.26317438,0.2723655,0.16584174,1.0,1.0,1.31577407618641
ENST00000009530.13,1165,ENSG00000019582.17,1167,0.08274026,0.034553647,0.25367635,0.08382891,0.12181847,0.056964077,0.027480781,0.11485704,0.050318025,,0.056562684,0.024054002,0.04686991,0.08215632,0.10292798,0.05070225,1.0,1.0,0.895486093472328
ENST00000009530.13,1197,ENSG00000019582.17,1199,0.3653528,,0.17244576,0.07234931,0.13423705,,0.25817576,,0.08915095,,0.039627753,,0.53817916,0.18983352,0.21195245,0.21947432,1.0,1.0,0.437964236860389
ENST00000009530.13,1202,ENSG00000019582.17,1204,0.13975124,0.16051385,0.077924825,0.2644208,0.18743381,0.047440805,0.07938968,0.09081831,0.11770549,,0.041912533,0.05361445,0.12731142,0.078088365,0.14074399,0.17458464,1.0,1.0,1.46076716411219
ENST00000009530.13,1206,ENSG00000019582.17,1208,0.0093190195,0.009948802,0.017811406,0.0022738217,0.0035016895,0.007835043,0.0029812814,0.0019066334,0.008987308,0.008523082,0.0033025264,0.004619849,0.0053769825,0.0052818535,0.0071475506,0.0060696364,1.0,1.0,0.495573583693354
ENST00000009530.13,1217,ENSG00000019582.17,1219,0.16549605,0.17855026,0.2104243,0.13226321,0.13779208,0.16677716,0.10658165,0.24841508,0.07685783,,0.16502473,0.15953639,0.14814721,0.20226505,0.20094529,0.28224435,1.0,1.0,1.40282616663627
ENST00000009530.13,1227,ENSG00000019582.17,1229,0.00033557415,0.0034931065,0.004686141,0.0013240457,0.00042358637,0.0035989643,0.0016573429,0.0013409257,0.0017322063,0.00026714802,0.0031709434,0.0016214013,0.0005362153,0.0006818652,0.0017890573,0.00076709985,1.0,1.0,0.677646857746856
ENST00000009530.13,1305,ENSG00000019582.17,1307,0.2458303,0.13244393,0.30862045,0.26975247,0.25651616,0.46069217,0.23728196,,0.25650147,,0.22416437,0.15727812,0.2179522,0.21695974,0.3119746,0.30089086,1.0,1.0,0.761175335529721
ENST00000009530.13,1322,ENSG00000019582.17,1324,0.1072494,0.19466951,0.07494801,0.10985507,0.16212852,0.15958847,0.20899177,0.038038336,0.07661166,,0.09850907,,0.053880084,0.11966107,0.13888048,0.14536834,1.0,1.0,0.630617059096685
ENST00000009530.13,1355,ENSG00000019582.17,1357,0.18366808,0.104894064,0.09988041,0.18069306,0.23754358,0.1541148,0.047525298,0.3200975,0.09245779,0.101385795,0.1248425,0.089966014,0.3307733,0.21010113,0.1546686,0.12993704,1.0,1.0,1.17386028469693
ENST00000009530.13,1400,ENSG00000019582.17,1402,0.00027995108,0.0011627317,0.0070959567,0.0004531145,0.0014791966,0.0022441626,0.00020017623,0.0003737569,0.0008796334,,0.0015478134,0.0009984374,0.0016700744,0.001150465,0.0013274073,0.00053977966,1.0,1.0,0.372698089755675
ENST00000009530.13,1413,ENSG00000019582.17,1415,0.052379787,0.08745916,0.072225645,0.13631825,0.25315517,0.19875233,0.20181456,0.096793875,0.25322062,,0.24028294,,0.11699666,0.13024114,0.12456175,0.18271467,1.0,1.0,0.72063298644822
ENST00000009530.13,1425,ENSG00000019582.17,1427,0.22982733,,0.0062021255,0.3707013,0.20393285,0.1954845,0.07058207,0.37212077,0.3715219,,0.19541873,,0.09186517,0.048644938,0.35323328,0.2089458,1.0,1.0,1.61616730171896
ENST00000009530.13,1433,ENSG00000019582.17,1435,0.9003628,0.76692504,0.86317825,0.85269624,0.6606857,0.65249306,0.5678812,0.85354364,0.9021677,,0.7071436,0.84512985,0.84297466,0.6762708,0.8979224,0.8198333,1.0,1.0,1.19857819926612
ENST00000009530.13,216,ENSG00000019582.17,218,,,,0.16542126,,,,0.17404088,,,0.038434137,,,,0.13639452,0.09661826,1.0,1.0,7.48299061749356
ENST00000009530.13,332,ENSG00000019582.17,334,,,,0.3216903,,,,0.37601948,,,0.25188357,,0.47809163,,0.2908028,0.22858083,1.0,1.0,2.72230772018989
ENST00000009530.13,396,ENSG00000019582.17,398,,,,0.020571183,,,,0.023187328,,,0.096463226,,0.24636355,0.01420778,0.12540472,0.13036022,1.0,1.0,1.08273977469446
ENST00000009530.13,400,ENSG00000019582.17,402,,,,0.18187943,,,,0.08063887,,,0.103349134,,0.48843604,0.11145802,0.1476737,0.15520912,1.0,1.0,1.47274342398941
ENST00000009530.13,404,ENSG00000019582.17,406,,,,0.16632321,,,,0.16042219,,,0.19468473,,0.17290379,0.120682105,0.26092178,0.23376456,1.0,1.0,2.24445665596409
ENST00000009530.13,420,ENSG00000019582.17,422,,,,0.1495835,,,,,,,0.32520312,,0.21037368,0.15416767,0.3077771,0.19192208,1.0,1.0,1.02706224187212
ENST00000009530.13,435,ENSG00000019582.17,437,,,,0.1264536,,,,0.14982542,,,0.34674907,,0.16722871,0.09190892,0.17878564,0.16420367,1.0,1.0,1.68407627316135
